id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
12141,Thạch Ngọc,thach-ngoc,xa,Xã Thạch Ngọc,18625,445,"Thạch Ngọc, Thạch Hà, Hà Tĩnh","Xã Thạch Ngọc, Huyện Thạch Hà, Tỉnh Hà Tĩnh"
12142,Thạch Xuân,thach-xuan,xa,Xã Thạch Xuân,18658,445,"Thạch Xuân, Thạch Hà, Hà Tĩnh","Xã Thạch Xuân, Huyện Thạch Hà, Tỉnh Hà Tĩnh"
12143,Thạch Khê,thach-khe,xa,Xã Thạch Khê,18604,445,"Thạch Khê, Thạch Hà, Hà Tĩnh","Xã Thạch Khê, Huyện Thạch Hà, Tỉnh Hà Tĩnh"
12144,Thạch Thắng,thach-thang,xa,Xã Thạch Thắng,18637,445,"Thạch Thắng, Thạch Hà, Hà Tĩnh","Xã Thạch Thắng, Huyện Thạch Hà, Tỉnh Hà Tĩnh"
12145,Cẩm Xuyên,cam-xuyen,huyen,Huyện Cẩm Xuyên,446,42,"Cẩm Xuyên, Hà Tĩnh","Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12146,Cẩm Bình,cam-binh,xa,Xã Cẩm Bình,18685,446,"Cẩm Bình, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Bình, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12147,Cẩm Minh,cam-minh,xa,Xã Cẩm Minh,18751,446,"Cẩm Minh, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Minh, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12148,Cẩm Quang,cam-quang,xa,Xã Cẩm Quang,18697,446,"Cẩm Quang, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Quang, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12149,Cẩm Lộc,cam-loc,xa,Xã Cẩm Lộc,18730,446,"Cẩm Lộc, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Lộc, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12150,Thiên Cầm,thien-cam,thi-tran,Thị trấn Thiên Cầm,18676,446,"Thiên Cầm, Cẩm Xuyên, Hà Tĩnh","Thị trấn Thiên Cầm, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12151,Cẩm Trung,cam-trung,xa,Xã Cẩm Trung,18742,446,"Cẩm Trung, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Trung, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12152,Cẩm Lĩnh,cam-linh,xa,Xã Cẩm Lĩnh,18721,446,"Cẩm Lĩnh, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Lĩnh, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12153,Cẩm Dương,cam-duong,xa,Xã Cẩm Dương,18682,446,"Cẩm Dương, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Dương, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12154,Cẩm Thành,cam-thanh,xa,Xã Cẩm Thành,18694,446,"Cẩm Thành, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Thành, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12155,Cẩm Xuyên,cam-xuyen,thi-tran,Thị trấn Cẩm Xuyên,18673,446,"Cẩm Xuyên, Cẩm Xuyên, Hà Tĩnh","Thị trấn Cẩm Xuyên, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12156,Cẩm Vĩnh,cam-vinh,xa,Xã Cẩm Vĩnh,18691,446,"Cẩm Vĩnh, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Vĩnh, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
12157,Cẩm Nhượng,cam-nhuong,xa,Xã Cẩm Nhượng,18709,446,"Cẩm Nhượng, Cẩm Xuyên, Hà Tĩnh","Xã Cẩm Nhượng, Huyện Cẩm Xuyên, Tỉnh Hà Tĩnh"
